Demetrious Johnson,Wilson Reis,win
Demetrious Johnson,Tim Elliott,win
Demetrious Johnson,Henry Cejudo,win
Demetrious Johnson,John Dodson,win
Demetrious Johnson,Kyoji Horiguchi,win
Demetrious Johnson,Chris Cariaso,win
Demetrious Johnson,Ali Bagautinov,win
Demetrious Johnson,Joseph Benavidez,win
Demetrious Johnson,John Moraga,win
Demetrious Johnson,John Dodson,win
Demetrious Johnson,Joseph Benavidez,win
Demetrious Johnson,Ian McCall,win
Demetrious Johnson,Ian McCall,draw
Demetrious Johnson,Dominick Cruz,loss
Demetrious Johnson,Miguel Torres,win
Demetrious Johnson,Norifumi Yamamoto,win
Demetrious Johnson,Damacio Page,win
Demetrious Johnson,Nick Pace,win
Demetrious Johnson,Brad Pickett,loss
Joseph Benavidez,Henry Cejudo,win
Joseph Benavidez,Zach Makovsky,win
Joseph Benavidez,Ali Bagautinov,win
Joseph Benavidez,John Moraga,win
Joseph Benavidez,Dustin Ortiz,win
Joseph Benavidez,Tim Elliott,win
Joseph Benavidez,Demetrious Johnson,loss
Joseph Benavidez,Jussier Formiga,win
Joseph Benavidez,Darren Uyenoyama,win
Joseph Benavidez,Ian McCall,win
Joseph Benavidez,Demetrious Johnson,loss
Joseph Benavidez,Yasuhiro Urushitani,win
Joseph Benavidez,Eddie Wineland,win
Joseph Benavidez,Ian Loveland,win
Joseph Benavidez,Wagnney Fabiano,win
Joseph Benavidez,Dominick Cruz,loss
Joseph Benavidez,Miguel Torres,win
Joseph Benavidez,Rani Yahya,win
Joseph Benavidez,Dominick Cruz,loss
Joseph Benavidez,Jeff Curran,win
Joseph Benavidez,Danny Martinez,win
Joseph Benavidez,Junya Kudo,win
Henry Cejudo,Wilson Reis,win
Henry Cejudo,Joseph Benavidez,loss
Henry Cejudo,Demetrious Johnson,loss
Henry Cejudo,Jussier Formiga,win
Henry Cejudo,Chico Camus,win
Henry Cejudo,Chris Cariaso,win
Henry Cejudo,Dustin Kimura,win
Ray Borg,Jussier Formiga,win
Ray Borg,Louis Smolka,win
Ray Borg,Justin Scoggins,loss
Ray Borg,Geane Herrera,win
Ray Borg,Chris Kelades,win
Ray Borg,Shane Howell,win
Ray Borg,Dustin Ortiz,loss
Sergio Pettis,Brandon Moreno,win
Sergio Pettis,John Moraga,win
Sergio Pettis,Chris Kelades,win
Sergio Pettis,Chris Cariaso,win
Sergio Pettis,Ryan Benoit,loss
Sergio Pettis,Matt Hobar,win
Sergio Pettis,Yaotzin Meza,win
Sergio Pettis,Alex Caceres,loss
Sergio Pettis,Will Campuzano,win
Jussier Formiga,Ulka Sasaki,win
Jussier Formiga,Ray Borg,loss
Jussier Formiga,Dustin Ortiz,win
Jussier Formiga,Henry Cejudo,loss
Jussier Formiga,Wilson Reis,win
Jussier Formiga,Zach Makovsky,win
Jussier Formiga,Scott Jorgensen,win
Jussier Formiga,Joseph Benavidez,loss
Jussier Formiga,Chris Cariaso,win
Jussier Formiga,John Dodson,loss
Wilson Reis,Henry Cejudo,loss
Wilson Reis,Demetrious Johnson,loss
Wilson Reis,Ulka Sasaki,win
Wilson Reis,Hector Sandoval,win
Wilson Reis,Dustin Ortiz,win
Wilson Reis,Jussier Formiga,loss
Wilson Reis,Scott Jorgensen,win
Wilson Reis,Joby Sanchez,win
Wilson Reis,Iuri Alcantara,loss
Wilson Reis,Ivan Menjivar,win
Brandon Moreno,Sergio Pettis,loss
Brandon Moreno,Dustin Ortiz,win
Brandon Moreno,Ryan Benoit,win
Brandon Moreno,Louis Smolka,win
