Tom Aaron,Matt Ricehouse,loss
Tom Aaron,Eric Steenberg,win
Danny Abbadi,Jorge Gurgel,loss
Danny Abbadi,Kalib Starnes,loss
David Abbott,Kevin Ferguson,loss
David Abbott,Paul Buentello,loss
David Abbott,Hidehiko Yoshida,loss
David Abbott,Wesley Correira,loss
David Abbott,Kimo Leopoldo,loss
David Abbott,Frank Mir,loss
David Abbott,Pedro Rizzo,loss
David Abbott,Hugo Duarte,win
David Abbott,Yoji Anjo,win
David Abbott,Maurice Smith,loss
David Abbott,Vitor Belfort,loss
David Abbott,Cal Worsham,win
David Abbott,Steve Nelmark,win
David Abbott,Don Frye,loss
David Abbott,Sam Adkins,win
David Abbott,Scott Ferrozzo,loss
David Abbott,Steve Jennum,win
David Abbott,Dan Severn,loss
David Abbott,John Matua,win
David Abbott,Paul Varelans,win
David Abbott,Oleg Taktarov,loss
Shamil Abdurakhimov,Chase Sherman,win
Shamil Abdurakhimov,Derrick Lewis,loss
Shamil Abdurakhimov,Walt Harris,win
Shamil Abdurakhimov,Anthony Hamilton,win
Shamil Abdurakhimov,Tim Johnson,loss
Hiroyuki Abe,Naoki Matsushita,draw
Hiroyuki Abe,Luiz Firmino,loss
Papy Abedi,Dylan Andrews,loss
Papy Abedi,Besam Yousef,win
Papy Abedi,James Head,loss
Papy Abedi,Thiago Alves,loss
Ricardo Abreu,Jake Collier,loss
Ricardo Abreu,Wagner Silva,win
Daniel Acacio,Rousimar Palhares,loss
Daniel Acacio,Akihiro Gono,loss
Daniel Acacio,Kazuo Misaki,win
Daniel Acacio,Daiju Takase,win
Scott Adams,Ian Freeman,win
Sam Adkins,David Abbott,loss
Sam Adkins,Felix Lee Mitchell,win
Sam Adkins,Keith Mielke,win
Sam Adkins,Don Frye,loss
Nick Agallar,Yves Edwards,loss
Marcelo Aguiar,Matt Hughes,loss
Edwin Aguilar,Martin Kampmann,loss
Jessica Aguilar,Jodie Esquibel,win
Jessica Aguilar,Cortney Casey,loss
Jessica Aguilar,Claudia Gadelha,loss
Mike Aina,Billy Evangelista,nc
Mike Aina,Nick Diaz,loss
Hitomi Akano,Sara McMann,loss
Hitomi Akano,Carina Damm,win
Hitomi Akano,Miesha Tate,loss
Hitomi Akano,Cris Cyborg,loss
Omari Akhmedov,Marvin Vettori,draw
Omari Akhmedov,Abdul Razak Alhassan,win
Omari Akhmedov,Kyle Noke,win
Omari Akhmedov,Elizeu Zaleski dos Santos,loss
Omari Akhmedov,Sergio Moraes,loss
Omari Akhmedov,Brian Ebersole,win
Omari Akhmedov,Mats Nilsson,win
Omari Akhmedov,Gunnar Nelson,loss
Omari Akhmedov,Thiago Perpetuo,win
