,reach,weight,height,w/l,SLpM,Str. Acc.,SApM,Str. Def,TD Avg,TD Acc.,TD Def.,Sub. Avg.,result
18,2.0,10.0,2.0,-0.11520737327188935,-2.15,7.0,-0.96,-16.0,2.12,8.0,-41.0,1.4000000000000001,1.0
0,1.0,0.0,0.0,-0.051948051948051965,-0.4500000000000002,-9.0,-0.3400000000000003,-6.0,-0.9100000000000001,-2.0,-34.0,0.6000000000000001,0.0
1,2.0,0.0,2.0,-0.24242424242424243,-1.29,-1.0,-0.2400000000000002,-7.0,-1.35,9.0,-28.0,0.2,1.0
2,-1.0,0.0,-1.0,-0.229090909090909,-0.52,1.0,-0.4700000000000002,-10.0,-1.01,8.0,-43.0,0.6000000000000001,1.0
3,3.0,0.0,1.0,-0.08300395256916993,-2.7800000000000002,-10.0,-0.56,-4.0,-0.14000000000000012,6.0,-20.0,0.3,1.0
4,2.0,0.0,-1.0,0.013986013986014068,-0.56,10.0,-0.9600000000000002,-6.0,1.42,23.0,-38.0,0.3,0.0
5,7.0,10.0,3.0,-0.10909090909090902,-2.54,-21.0,1.1199999999999997,-20.0,-1.19,6.0,-50.0,2.0,1.0
6,1.0,0.0,0.0,-0.13131313131313127,-1.7400000000000002,-5.0,-0.6100000000000003,-10.0,3.3,12.0,-50.0,0.39999999999999997,1.0
0,4.0,0.0,1.0,-0.007246376811594235,-0.24,-19.0,0.4900000000000002,13.0,-1.81,-18.0,30.0,-1.7000000000000002,1.0
1,3.0,0.0,1.0,-0.08333333333333337,0.17999999999999994,-20.0,3.4200000000000004,-2.0,-2.96,-18.0,-12.0,-1.6,1.0
2,6.0,0.0,4.0,-0.24242424242424243,-0.06000000000000005,-19.0,0.8999999999999999,-12.0,-3.79,-55.0,-30.0,-2.2,1.0
3,5.0,0.0,3.0,-0.08333333333333337,1.0699999999999998,-8.0,0.9900000000000002,-6.0,-2.75,-37.0,3.0,-1.9000000000000001,1.0
4,2.0,0.0,1.0,-0.10606060606060608,1.69,-6.0,0.6800000000000002,0.0,-1.3900000000000001,-24.0,5.0,-2.1,0.0
5,3.0,10.0,3.0,-0.04761904761904767,2.42,2.0,0.06000000000000005,6.0,0.46999999999999975,11.0,34.0,-1.6,0.0
6,5.0,0.0,5.0,-0.04761904761904767,2.84,-3.0,1.2800000000000002,1.0,-1.82,-19.0,-12.0,0.3999999999999999,1.0
