first,last,nickname,height,weight,reach,stance,w,l,d,belt,SLpM,Str. Acc.,SApM,Str. Def,TD Avg,TD Acc.,TD Def.,Sub. Avg.
Royce,Alger,n/a,"5' 10""",199 lbs.,n/a,Orthodox,3,2,0,n/a,0,0%,0,0%,0,0%,0%,0
Sultan,Aliev,n/a,"5' 11""",170 lbs.,"74.0""",Orthodox,14,2,0,n/a,1.3,57%,2.03,58%,1.69,66%,100%,0
George,Allen,n/a,"6' 2""",205 lbs.,n/a,Open Stance,13,19,2,n/a,0.8,38%,3.1,43%,0,0%,50%,0
Arnold,Allen,Almighty,"5' 8""",145 lbs.,"70.0""",Southpaw,11,1,0,n/a,2.02,30%,2.25,52%,2.81,62%,83%,0.6
Benny,Alloway,Blanco,"5' 11""",170 lbs.,"75.0""",Orthodox,13,6,0,n/a,1.28,49%,1.9,59%,0.62,50%,26%,0
Ricardo,Almeida,Big Dog,"6' 0""",170 lbs.,"74.0""",Orthodox,13,5,0,n/a,2.02,49%,1.2,61%,3.74,38%,31%,1.2
Magno,Almeida,n/a,"6' 0""",155 lbs.,n/a,n/a,9,3,0,n/a,1.67,36%,2.6,41%,0,0%,40%,5
Thomas,Almeida,Thominhas,"5' 7""",135 lbs.,"70.0""",Southpaw,22,1,0,n/a,6.46,49%,4.47,66%,0,0%,80%,0
Ericka,Almeida,n/a,"5' 6""",115 lbs.,"68.0""",n/a,7,2,0,n/a,1.07,39%,3.33,43%,0.5,33%,37%,0
Mauricio,Alonso,n/a,"6' 2""",185 lbs.,n/a,n/a,10,7,0,n/a,0,0%,0,0%,0,0%,0%,0
Rico,Altamirano,n/a,"5' 10""",170 lbs.,n/a,n/a,3,2,0,n/a,0,0%,0,0%,0,0%,0%,0
Mike,Altman,n/a,"5' 10""",185 lbs.,n/a,Orthodox,1,4,0,n/a,1.56,20%,2.08,75%,0,0%,0%,0
Sean,Alvarez,n/a,"6' 0""",235 lbs.,n/a,Orthodox,4,3,0,n/a,0.89,37%,3.25,47%,0,0%,0%,0
Eddie,Alvarez,The Underground King,"5' 9""",155 lbs.,"69.0""",Orthodox,28,5,0,n/a,3.43,42%,3.28,59%,3.58,38%,92%,0.5
Thiago,Alves,Pitbull,"5' 9""",170 lbs.,"70.0""",Orthodox,26,11,0,n/a,3.49,41%,3.08,64%,0.73,64%,63%,0.4
Anthony,Alves,n/a,n/a,n/a,n/a,n/a,1,3,0,n/a,0,0%,0,0%,0,0%,0%,0
Amilcar,Alves,n/a,"6' 0""",170 lbs.,n/a,Southpaw,11,4,0,n/a,0.5,46%,2.02,30%,0,0%,53%,0
Warlley,Alves,n/a,"5' 11""",170 lbs.,"72.0""",Orthodox,11,2,0,n/a,2.86,47%,4.5,50%,1.14,55%,75%,1.4
