first,last,nickname,height,weight,reach,stance,w,l,d,belt,SLpM,Str. Acc.,SApM,Str. Def,TD Avg,TD Acc.,TD Def.,Sub. Avg.
Maurice,Eazel,n/a,"5' 7""",135 lbs.,n/a,n/a,7,15,0,n/a,0,0%,0,0%,0,0%,0%,0
Vincent,Eazelle,The Real Deal,"5' 11""",155 lbs.,n/a,n/a,9,2,0,n/a,0,0%,0,0%,0,0%,0%,0
Ross,Ebanez,The Boss,"5' 9""",154 lbs.,n/a,Southpaw,20,8,0,n/a,0.74,50%,0.74,62%,3.7,100%,0%,0
Brian,Ebersole,Bad Boy,"6' 0""",170 lbs.,"73.0""",Southpaw,51,17,1,n/a,2.32,49%,2.14,56%,1.7,23%,61%,0.1
Mark,Eddiva,n/a,"5' 8""",145 lbs.,"68.0""",Orthodox,6,3,0,n/a,3.37,45%,2.98,54%,1.45,22%,63%,0
Frankie,Edgar,The Answer,"5' 6""",145 lbs.,"68.0""",Orthodox,20,5,1,n/a,3.46,39%,2.16,70%,2.62,35%,65%,0.4
Abdul-Kerim,Edilov,n/a,"6' 1""",205 lbs.,n/a,Orthodox,16,4,0,n/a,0,0%,0,0%,0,0%,0%,0
Johnny,Eduardo,n/a,"5' 7""",135 lbs.,"71.0""",Orthodox,28,10,0,n/a,2.42,35%,2.5,68%,0,0%,66%,0.3
Yves,Edwards,n/a,"5' 9""",155 lbs.,"73.0""",Southpaw,42,22,1,n/a,2.91,42%,2.34,66%,0.76,53%,69%,0.7
Justin,Edwards,Fast Eddy,"5' 10""",155 lbs.,"70.0""",Orthodox,9,5,0,n/a,2.68,42%,3.32,51%,2.14,26%,27%,1
Leon,Edwards,Rocky,"6' 0""",170 lbs.,"74.0""",Southpaw,12,3,0,n/a,1.89,46%,1.93,58%,1.03,29%,65%,0.4
Tom,Egan,n/a,"5' 11""",170 lbs.,n/a,Orthodox,5,3,0,n/a,0,0%,3.91,50%,0,0%,28%,0
Justin,Eilers,The Hammer,"6' 1""",235 lbs.,n/a,Orthodox,19,7,1,n/a,1.78,30%,6.56,47%,0,0%,0%,0
Jon Olav,Einemo,The Viking,"6' 6""",253 lbs.,n/a,Orthodox,6,3,0,n/a,2.15,52%,3.05,52%,1.73,55%,43%,0
Per,Eklund,n/a,"5' 10""",155 lbs.,"72.0""",Orthodox,14,5,1,n/a,2.07,61%,2.38,67%,2.07,11%,50%,3.6
John,Elam,n/a,n/a,n/a,n/a,n/a,2,0,0,n/a,0,0%,0,0%,0,0%,0%,0
John Paul,Elias,n/a,"6' 4""",205 lbs.,n/a,n/a,3,0,0,n/a,0,0%,0,0%,0,0%,0%,0
Saul,Elizondo,n/a,"5' 7""",135 lbs.,n/a,n/a,6,6,0,n/a,2.07,30%,4.93,48%,2,100%,66%,1
Darren,Elkins,The Damage,"5' 10""",145 lbs.,"71.0""",Orthodox,22,5,0,n/a,3.11,35%,1.89,59%,2.99,37%,25%,1.5
Jake,Ellenberger,The Juggernaut,"5' 9""",170 lbs.,"71.0""",Orthodox,31,12,0,n/a,2.42,38%,2.67,61%,2.08,50%,86%,0.4
Joe,Ellenberger,Excalibur,"5' 9""",155 lbs.,"72.0""",Orthodox,15,2,0,n/a,1.62,47%,3.45,48%,3.17,40%,0%,1.1
Tim,Elliott,n/a,"5' 7""",125 lbs.,"66.0""",Southpaw,14,6,1,n/a,3.48,44%,2.35,63%,3.31,60%,48%,1.3
Eddy,Ellis,Fast,"5' 9""",170 lbs.,n/a,Orthodox,16,15,1,n/a,3.4,69%,1.53,68%,4,66%,50%,2
Lisa,Ellis,n/a,"5' 4""",115 lbs.,"62.0""",n/a,15,10,0,n/a,1.68,48%,2.32,57%,4.19,63%,50%,0.6
Anna,Elmose,Panda,"5' 3""",115 lbs.,"65.0""",Orthodox,3,2,0,n/a,3.68,49%,4.64,56%,0,0%,33%,0
Aaron,Ely,The Cyborg,"5' 8""",135 lbs.,n/a,n/a,5,2,0,n/a,0.82,15%,0.66,69%,2.47,100%,50%,4.9
Aleksander,Emelianenko,n/a,"6' 6""",255 lbs.,n/a,Orthodox,17,4,0,n/a,2.75,41%,1.7,65%,2.32,72%,66%,0.9
Fedor,Emelianenko,The Last Emperor,"6' 0""",230 lbs.,"74.0""",Orthodox,34,4,0,n/a,3.18,51%,1,63%,2,63%,82%,1.9
Rob,Emerson,The Saint,"5' 9""",155 lbs.,"70.0""",Orthodox,11,10,0,n/a,2.5,30%,2.83,64%,2.02,52%,65%,0.4
Josh,Emmett,n/a,"5' 6""",155 lbs.,"70.0""",Orthodox,11,0,0,n/a,4.7,45%,3.93,67%,4,57%,40%,0.5
Marius,Enache,n/a,"5' 11""",155 lbs.,n/a,n/a,3,3,0,n/a,1.71,34%,0.66,84%,3.94,100%,0%,3.9
Kevin,Engel,The Hitman,"6' 2""",170 lbs.,n/a,n/a,4,0,0,n/a,0,0%,0,0%,0,0%,0%,0
Alex,Enlund,n/a,"5' 10""",145 lbs.,"73.0""",Orthodox,14,2,0,n/a,0,0%,0,0%,0,0%,0%,0
Ian,Entwistle,Enty,"5' 5""",135 lbs.,"64.0""",Orthodox,9,3,0,n/a,0.11,7%,7.36,31%,0,0%,0%,12.1
Andy,Enz,Lionheart,"6' 3""",185 lbs.,"78.0""",Orthodox,8,3,0,n/a,3.51,23%,5.32,57%,0,0%,58%,0
Won Jin,Eoh,n/a,"5' 7""",160 lbs.,n/a,Orthodox,5,5,1,n/a,3.74,44%,3.58,46%,0,0%,50%,0
Josh,Epps,n/a,n/a,130 lbs.,n/a,n/a,3,4,0,n/a,0,0%,0,0%,0,0%,0%,0
Tom,Erikson,The Big Cat,"6' 3""",280 lbs.,n/a,Orthodox,9,4,1,n/a,0.94,47%,1.87,25%,4.68,60%,100%,6.2
Konstantin,Erokhin,The Russian Bear,"5' 11""",230 lbs.,"73.0""",Orthodox,9,3,0,n/a,1.07,36%,1.83,47%,0,0%,70%,0
Julian,Erosa,Juicy J,"6' 1""",145 lbs.,"75.0""",Southpaw,15,4,0,n/a,3.74,50%,3.84,53%,2.19,75%,75%,1.5
Nick,Ertl,n/a,"5' 9""",155 lbs.,n/a,n/a,8,6,0,n/a,2.13,69%,2.53,41%,3,50%,0%,0
Chel,Erwin-Davis,The First Sun,"6' 0""",170 lbs.,n/a,n/a,2,1,0,n/a,4.06,54%,1.13,61%,4.25,100%,50%,1.4
Bobby,Escalante,n/a,n/a,130 lbs.,n/a,n/a,3,3,0,n/a,0,0%,0,0%,0,0%,0%,0
Eric,Esch,Butterbean,"5' 11""",350 lbs.,n/a,Orthodox,14,10,1,n/a,3.07,71%,1.74,43%,0,0%,0%,2
Pro,Escobedo,n/a,n/a,205 lbs.,n/a,n/a,1,0,0,n/a,0,0%,0,0%,0,0%,0%,0
Cole,Escovedo,Apache Kid,"5' 7""",135 lbs.,"72.0""",Orthodox,17,8,0,n/a,1.82,45%,4.85,45%,0.55,40%,10%,0
Efrain,Escudero,Hecho En Mexico,"5' 9""",155 lbs.,"70.0""",Orthodox,25,11,0,n/a,2.92,44%,2.3,63%,1.31,40%,66%,0.8
Evan,Esguerra,n/a,n/a,145 lbs.,n/a,n/a,3,4,0,n/a,0,0%,0,0%,0,0%,0%,0
Carla,Esparza,Cookie Monster,"5' 1""",115 lbs.,"63.0""",n/a,12,3,0,n/a,2.07,48%,3,51%,4.62,35%,83%,0.4
Terry,Etim,n/a,"6' 1""",155 lbs.,"73.0""",Orthodox,15,5,0,n/a,2.16,35%,2.53,67%,0.43,30%,39%,1.4
Fred,Ettish,n/a,"6' 0""",180 lbs.,n/a,Southpaw,1,1,0,n/a,0,0%,0,0%,0,0%,0%,0
Scott,Ettling,n/a,n/a,135 lbs.,n/a,n/a,2,1,0,n/a,0,0%,0.54,83%,8.04,100%,0%,0
Billy,Evangelista,n/a,"5' 8""",155 lbs.,"68.0""",Orthodox,11,2,0,n/a,4.51,40%,3.96,61%,1.6,19%,61%,0.2
Rashad,Evans,Suga,"6' 0""",185 lbs.,"75.0""",Orthodox,24,5,1,n/a,2.12,37%,2.26,64%,3.15,46%,68%,0
Doug,Evans,n/a,"5' 9""",155 lbs.,n/a,Orthodox,13,9,0,n/a,1.79,35%,2.55,55%,3.19,83%,69%,0.6
Ashlee,Evans-Smith,n/a,"5' 8""",135 lbs.,"67.0""",Orthodox,5,1,0,n/a,4.24,40%,2.47,57%,1.83,44%,33%,0
Dan,Evensen,The Viking,"6' 3""",250 lbs.,n/a,Orthodox,11,4,0,n/a,0.27,10%,3.86,38%,0,0%,0%,4
Tonya,Evinger,n/a,"5' 7""",135 lbs.,n/a,Orthodox,9,6,0,n/a,0.5,47%,1.12,37%,0.84,100%,16%,2.5
Neal,Ewing,n/a,n/a,185 lbs.,n/a,n/a,6,0,0,n/a,2.27,60%,1.93,48%,5,62%,0%,0
Jessica,Eye,Evil,"5' 6""",135 lbs.,"66.0""",Orthodox,11,6,0,n/a,3.52,36%,3.43,59%,0.16,100%,61%,0.2
Edward,Faaloloto,n/a,n/a,155 lbs.,"70.0""",n/a,2,3,0,n/a,2.28,32%,6.25,44%,1.01,25%,33%,0
Urijah,Faber,The California Kid,"5' 6""",135 lbs.,"67.0""",Orthodox,34,10,0,n/a,2.66,41%,2.51,65%,1.59,31%,60%,0.9
Wagnney,Fabiano,The Silencer,"5' 6""",145 lbs.,"69.0""",Southpaw,14,3,0,n/a,1.19,38%,0.66,70%,3.44,64%,100%,0.4
Bartosz,Fabinski,The Butcher,"6' 0""",185 lbs.,"75.0""",Orthodox,13,2,0,n/a,2.2,71%,0.77,50%,8,72%,100%,0
Ron,Faircloth,n/a,"5' 9""",205 lbs.,n/a,Orthodox,33,20,0,n/a,0.39,40%,8.9,42%,0,0%,0%,0
Jason,Fairn,n/a,"6' 1""",230 lbs.,n/a,n/a,4,5,0,n/a,0,0%,0,0%,0,0%,0%,0
Maiquel,Falcao,Big Rig,"5' 11""",185 lbs.,n/a,Orthodox,28,4,0,n/a,1.67,55%,0.53,86%,1,100%,71%,3
Brodie,Farber,n/a,"6' 1""",170 lbs.,n/a,Orthodox,14,6,0,n/a,1.69,45%,2.17,53%,0.9,50%,20%,0.9
Joao Paulo,Faria,n/a,"5' 9""",155 lbs.,n/a,n/a,1,1,0,n/a,6.69,64%,2.09,85%,1.25,50%,0%,1.2
Chance,Farrar,n/a,"5' 9""",145 lbs.,n/a,Southpaw,8,3,0,n/a,0.81,22%,2.21,67%,3.02,100%,0%,0
Kelly,Faszholz,n/a,"5' 8""",135 lbs.,"67.0""",Orthodox,3,2,0,n/a,4.01,48%,3.61,52%,0,0%,44%,0
Rodney,Faverus,n/a,"6' 0""",215 lbs.,n/a,Southpaw,25,19,3,n/a,2.3,53%,1.6,54%,4.5,100%,25%,0
Paul,Felder,The Irish Dragon,"5' 11""",155 lbs.,"70.0""",Orthodox,12,3,0,n/a,3.33,41%,2.99,51%,0.48,37%,62%,0.5
JP,Felty,n/a,n/a,170 lbs.,n/a,n/a,1,2,0,n/a,0,0%,0,0%,0,0%,0%,0
Kevin,Ferguson,Kimbo Slice,"6' 2""",235 lbs.,n/a,Orthodox,5,2,0,n/a,2.3,50%,3.41,38%,3.1,72%,36%,1.2
Rhadi,Ferguson,n/a,"5' 7""",205 lbs.,n/a,n/a,3,0,0,n/a,0,0%,0,0%,0,0%,0%,0
Tony,Ferguson,El Cucuy,"5' 11""",155 lbs.,"76.0""",Orthodox,23,3,0,n/a,5.23,42%,3.43,65%,0.71,42%,81%,1.5
Josh,Ferguson,Taz,"5' 5""",125 lbs.,"66.0""",Orthodox,7,5,0,n/a,2.13,43%,4.18,32%,0.59,11%,54%,0
CJ,Fernandes,n/a,"6' 2""",170 lbs.,n/a,n/a,14,8,3,n/a,0,0%,0,0%,0,0%,0%,0
Bibiano,Fernandes,n/a,"5' 7""",139 lbs.,n/a,Orthodox,10,3,0,n/a,2.91,40%,2.02,72%,3.97,53%,77%,0.6
Alexandre,Ferreira,Cacareco,"5' 7""",205 lbs.,n/a,Orthodox,18,6,0,n/a,2.57,60%,8.14,42%,0,0%,0%,0
Cezar,Ferreira,Mutante,"6' 1""",185 lbs.,"78.0""",Southpaw,12,5,0,n/a,1.85,39%,1.86,56%,2.62,69%,100%,0.3
Diego,Ferreira,n/a,"5' 9""",155 lbs.,"74.0""",Orthodox,12,2,0,n/a,3.34,37%,3.03,54%,0.36,11%,60%,1.1
Scott,Ferrozzo,The Pitbull,"5' 11""",323 lbs.,n/a,Orthodox,4,2,0,n/a,0,0%,0,0%,0,0%,0%,0
Drew,Fickett,The Master,"5' 10""",155 lbs.,"70.0""",Orthodox,41,16,0,n/a,2.33,41%,2.29,57%,1.3,35%,30%,2.2
Scott,Fiedler,n/a,"6' 4""",235 lbs.,n/a,Orthodox,0,1,0,n/a,0,0%,0,0%,0,0%,0%,0
Ron,Fields,Killing,"6' 2""",200 lbs.,n/a,Orthodox,25,30,1,n/a,0.33,33%,2.64,11%,0,0%,0%,0
Anthony,Figueroa,n/a,"5' 4""",135 lbs.,n/a,Orthodox,5,6,1,n/a,2.37,48%,3.77,49%,0,0%,58%,0
Edwin,Figueroa,El Feroz,"5' 7""",135 lbs.,"69.0""",Orthodox,9,4,0,n/a,2.57,39%,3.06,51%,0.2,100%,37%,0.6
Paulo,Filho,n/a,"5' 8""",185 lbs.,n/a,Southpaw,22,4,2,n/a,1.86,48%,1.67,66%,2.4,32%,42%,1.6
Andre,Fili,Touchy,"5' 11""",145 lbs.,"74.0""",Orthodox,16,4,0,n/a,3.38,38%,2.55,60%,2.85,46%,58%,0.2
Mirko,Cro Cop,Cro Cop,"6' 2""",230 lbs.,"73.0""",Southpaw,31,11,2,n/a,2.11,50%,1.89,63%,0.19,40%,78%,0.3
Brady,Fink,n/a,"6' 0""",183 lbs.,n/a,Orthodox,2,3,0,n/a,1.69,41%,1.69,61%,3.63,25%,0%,3.6
Jesse,Finney,n/a,"6' 0""",170 lbs.,n/a,n/a,6,1,0,n/a,0,0%,0,0%,0,0%,0%,0
Jan,Finney,Cuddles,"5' 8""",135 lbs.,n/a,Orthodox,8,10,0,n/a,2.16,28%,8.75,42%,0.77,11%,25%,0
Luigi,Fioravanti,n/a,"5' 8""",170 lbs.,"70.0""",Orthodox,22,11,0,n/a,2.23,42%,2.21,69%,3.76,63%,67%,0.9
Luiz,Firmino,Buscape,"5' 6""",154 lbs.,n/a,Orthodox,13,6,0,n/a,1.23,50%,1.22,51%,3.86,45%,20%,0.9
Spencer,Fisher,The King,"5' 7""",155 lbs.,"70.0""",Southpaw,25,9,0,n/a,3.17,43%,3.03,64%,0.67,30%,60%,0.8
Bryanna,Fissori,n/a,"5' 4""",145 lbs.,n/a,n/a,2,0,0,n/a,1.4,46%,1.2,57%,2,25%,50%,0
Jon,Fitch,n/a,"6' 0""",170 lbs.,"76.0""",Orthodox,27,5,1,n/a,2.61,50%,1.65,54%,3.6,51%,56%,0.8
Colin,Fletcher,The Freakshow,"6' 2""",155 lbs.,"78.0""",Orthodox,9,3,0,n/a,3.1,34%,2.97,62%,0,0%,27%,0
Jose,Flores,n/a,"6' 1""",155 lbs.,n/a,n/a,4,0,0,n/a,0,0%,0,0%,0,0%,0%,0
Kenny,Florian,KenFlo,"5' 10""",145 lbs.,"74.0""",Southpaw,14,6,0,n/a,2.41,40%,1.85,63%,2.22,33%,60%,1.3
Cody,Floyd,n/a,n/a,n/a,n/a,n/a,2,0,0,n/a,0,0%,0,0%,0,0%,0%,0
Bobby,Flynn,n/a,n/a,170 lbs.,n/a,n/a,4,3,0,n/a,0.38,25%,0.77,0%,0,0%,0%,0
Caros,Fodor,The Future,"5' 9""",155 lbs.,"76.0""",Orthodox,7,3,0,n/a,2.76,54%,2.83,54%,2.1,25%,50%,0
Mal,Foki,Twin Tiger,"5' 7""",220 lbs.,n/a,Orthodox,5,5,0,n/a,2.86,14%,14.29,54%,0,0%,0%,0
Matt,Foki,Twin Tiger,"5' 7""",220 lbs.,n/a,Orthodox,5,4,0,n/a,0,0%,3.37,56%,0,0%,0%,0
AJ,Fonseca,n/a,"5' 4""",145 lbs.,n/a,n/a,5,4,0,n/a,0,0%,0,0%,0,0%,0%,0
Rob,Font,n/a,"5' 8""",135 lbs.,"71.0""",Orthodox,13,2,0,n/a,4.29,46%,3.93,63%,0.99,22%,33%,0.5
Claudionor,Fontinelle,n/a,"5' 5""",185 lbs.,n/a,Orthodox,9,13,1,n/a,2.62,42%,10.25,28%,0,0%,0%,0
Jesse,Forbes,Kid Hercules,"6' 2""",185 lbs.,"75.0""",Southpaw,15,5,0,n/a,2.11,24%,4.06,53%,1.79,75%,66%,1.2
Sterling,Ford,n/a,"5' 10""",155 lbs.,n/a,n/a,13,5,0,n/a,0,0%,0,0%,0,0%,0%,0
Codale,Ford,Crunch Time,"5' 9""",170 lbs.,n/a,n/a,11,8,0,n/a,0,0%,0,0%,0,0%,0%,0
Renee,Forte,n/a,"5' 7""",155 lbs.,"71.0""",Orthodox,8,4,0,n/a,2.08,32%,2.12,63%,2.32,58%,66%,0
Brian,Foster,The Foster Boy,"5' 9""",170 lbs.,"71.0""",Orthodox,18,5,0,n/a,3.3,39%,1.63,65%,3.67,60%,37%,1.8
Xavier,Foupa-Pokam,Professor X,"6' 1""",185 lbs.,n/a,Open Stance,21,16,0,n/a,1.47,43%,2.5,49%,0,0%,16%,0
Mason,Fowler,n/a,"5' 11""",170 lbs.,n/a,n/a,2,0,0,n/a,0,0%,0,0%,0,0%,0%,0
Brandon,Foxworth,n/a,"5' 11""",145 lbs.,n/a,Orthodox,18,4,0,n/a,1.33,32%,4.59,50%,0,0%,0%,0
Hermes,Franca,n/a,"5' 6""",155 lbs.,"71.0""",Orthodox,22,12,0,n/a,1.78,39%,2.85,55%,1.53,36%,37%,2.4
Glaico,Franca,Nego,"6' 0""",155 lbs.,"77.0""",n/a,14,5,0,n/a,2.35,42%,3.46,47%,2.68,42%,76%,0.3
Francisco,France,Kiko,"6' 0""",205 lbs.,n/a,n/a,7,3,0,n/a,0,0%,0,0%,0,0%,0%,0
John,Franchi,n/a,"5' 6""",145 lbs.,"67.0""",Orthodox,6,2,0,n/a,1.83,48%,2.59,48%,2.68,80%,40%,0.3
Rich,Franklin,Ace,"6' 1""",185 lbs.,"75.0""",Southpaw,29,7,0,n/a,4.1,44%,2.07,62%,1.31,66%,63%,0.7
Zoila,Frausto,Warrior Princess,"5' 4""",135 lbs.,n/a,Orthodox,11,1,0,n/a,0.77,31%,1.64,53%,0,0%,57%,0
Zane,Frazier,Nasty,"6' 5""",250 lbs.,n/a,Orthodox,4,11,0,n/a,0,0%,0,0%,0,0%,0%,0
Gary,Frazier,n/a,"6' 0""",245 lbs.,n/a,Orthodox,1,2,0,n/a,1.5,39%,2.77,46%,0,0%,100%,0
Ian,Freeman,The Machine,"5' 11""",225 lbs.,n/a,Orthodox,19,7,1,n/a,2.54,48%,3.11,44%,1.44,40%,80%,0.7
Jason,Freeman,n/a,"6' 2""",225 lbs.,n/a,n/a,6,4,0,n/a,0,0%,0,0%,0,0%,0%,0
Willamy,Freire,Chiquerim,"5' 8""",155 lbs.,n/a,n/a,19,5,0,n/a,1.53,37%,0.93,62%,0.5,100%,73%,0
Patricio,Freire,Pitbull,"5' 5""",145 lbs.,"65.0""",n/a,24,3,0,n/a,2.84,41%,4.43,60%,0.6,18%,94%,0.6
Patricky,Freire,Pitbull,"5' 7""",155 lbs.,"71.0""",n/a,15,7,0,n/a,3.13,44%,3.8,69%,1.5,33%,100%,0
Rafael,Freitas,Capoeira,n/a,205 lbs.,n/a,Orthodox,4,6,0,n/a,2,29%,8,51%,11.25,50%,0%,0
Clay,French,n/a,"5' 7""",161 lbs.,n/a,Southpaw,19,6,0,n/a,1.52,50%,1.27,16%,0,0%,100%,0
Mike,French,n/a,"5' 10""",145 lbs.,n/a,n/a,8,9,0,n/a,0.23,23%,2.17,42%,0,0%,22%,1
Don,Frye,The Predator,"6' 1""",219 lbs.,n/a,Orthodox,20,9,1,n/a,2.87,64%,3.57,37%,0.91,57%,45%,0.7
Tony,Fryklund,The Freak,"6' 0""",185 lbs.,n/a,Orthodox,14,9,1,n/a,3.49,39%,6.5,43%,0,0%,66%,0.5
Jesse,Fujarczyk,The Ronin,"6' 4""",225 lbs.,n/a,Southpaw,3,2,0,n/a,1.03,33%,4.91,38%,0,0%,25%,0
Katsuhisa,Fujii,Shamoji,"6' 0""",205 lbs.,n/a,Orthodox,9,18,1,n/a,4,50%,4.43,64%,2.14,25%,50%,2.1
Megumi,Fujii,Mega Megu,"5' 3""",113 lbs.,n/a,n/a,26,3,0,n/a,2.4,42%,0,100%,0,0%,0%,12
Kazuyuki,Fujita,Ironhead,"6' 0""",235 lbs.,n/a,Orthodox,15,9,0,n/a,1.05,49%,1.99,52%,2.78,36%,85%,0.6
Keisuke,Fujiwara,n/a,"5' 6""",139 lbs.,n/a,Switch,11,4,4,n/a,0.73,44%,1.2,47%,0,0%,23%,2.5
Riki,Fukuda,n/a,"6' 0""",185 lbs.,"73.0""",Southpaw,19,7,0,n/a,4.24,43%,3.71,64%,2.17,43%,70%,0
Masio,Fullen,Lobo,"5' 10""",145 lbs.,"70.0""",Orthodox,10,6,0,n/a,2.46,32%,3.5,54%,0.47,33%,69%,0
Travis,Fulton,The Ironman,"6' 0""",240 lbs.,n/a,Orthodox,127,49,10,n/a,0,0%,0,0%,0,0%,0%,0
Sam,Fulton,n/a,n/a,n/a,n/a,n/a,0,2,0,n/a,0,0%,0,0%,0,0%,0%,0
Masakatsu,Funaki,n/a,"6' 0""",185 lbs.,n/a,Southpaw,39,13,1,n/a,1.82,68%,2.92,35%,0,0%,0%,5.5
Ricardo,Funch,Golden Boy,"5' 10""",170 lbs.,"76.0""",Southpaw,8,4,0,n/a,2.61,65%,3.57,40%,1.24,18%,60%,0
Katsuaki,Furuki,n/a,"6' 0""",168 lbs.,n/a,n/a,1,1,0,n/a,0.27,10%,2.67,39%,0,0%,0%,3
James,Gabert,n/a,n/a,178 lbs.,n/a,n/a,6,4,0,n/a,0,0%,0,0%,0,0%,0%,0
Claudia,Gadelha,Claudinha,"5' 4""",115 lbs.,"63.0""",Orthodox,14,2,0,n/a,3.59,42%,3.94,60%,4.59,57%,83%,0.7
Alavutdin,Gadjiev,n/a,"6' 2""",185 lbs.,n/a,Orthodox,18,12,1,n/a,0.99,27%,0.99,57%,0,0%,50%,0
Sheila,Gaff,The German Tank,"5' 5""",135 lbs.,"62.0""",Orthodox,10,6,1,n/a,1.6,50%,2.89,28%,0,0%,20%,0
Mitch,Gagnon,n/a,"5' 5""",135 lbs.,"65.0""",Southpaw,12,4,0,n/a,3.18,48%,2.13,63%,1.43,26%,67%,1.9
Brandon,Gaines,n/a,"6' 3""",185 lbs.,n/a,n/a,5,16,0,n/a,0,0%,0,0%,0,0%,0%,0
Travis,Galbraith,The Gladiator,"6' 0""",170 lbs.,n/a,Orthodox,18,7,0,n/a,2.21,40%,3.45,48%,1.33,25%,0%,1.3
Dave,Galera,Scarecrow,"5' 11""",135 lbs.,n/a,Orthodox,5,1,0,n/a,1.67,69%,0.53,33%,0,0%,14%,2
Zelg,Galesic,Benkei,"6' 2""",185 lbs.,n/a,Orthodox,10,6,0,n/a,4.86,62%,0.61,66%,1.3,100%,20%,1.3
Mickey,Gall,n/a,"6' 2""",170 lbs.,"74.0""",Switch,4,0,0,n/a,3.21,57%,1.66,46%,4.66,100%,100%,9.3
Daniel,Gallemore,Big Kansas,"6' 5""",265 lbs.,n/a,n/a,4,3,0,n/a,3.1,41%,6,52%,0,0%,0%,0
Turrell,Galloway,n/a,"5' 3""",145 lbs.,n/a,n/a,5,2,0,n/a,0,0%,0,0%,0,0%,0%,0
Eric,Galvan,n/a,n/a,155 lbs.,n/a,n/a,0,0,0,n/a,0,0%,0,0%,0,0%,0%,0
Andre,Galvao,n/a,"5' 7""",168 lbs.,n/a,Orthodox,5,2,0,n/a,2.34,52%,1.56,58%,2.02,27%,0%,2.8
Marcos,Galvao,Louro,"5' 7""",135 lbs.,n/a,Orthodox,11,5,1,n/a,1.97,32%,3.86,61%,2.27,28%,88%,1.1
Lucas,Gamaza,n/a,n/a,170 lbs.,n/a,n/a,5,2,0,n/a,7.57,31%,6.99,45%,0,0%,0%,0
Joey,Gambino,The Raging Warrior,"5' 7""",145 lbs.,n/a,Orthodox,9,2,0,n/a,2.47,35%,2.53,51%,0,0%,42%,0.8
Manvel,Gamburyan,The Anvil,"5' 5""",135 lbs.,"67.0""",Orthodox,18,11,0,n/a,2.13,41%,2.83,55%,3.26,34%,69%,0.7
Ariel,Gandulla,n/a,"5' 11""",205 lbs.,n/a,Orthodox,6,6,0,n/a,1.95,23%,2.07,72%,1.88,66%,0%,0
Sean,Gannon,The Cannon,"6' 3""",265 lbs.,n/a,Southpaw,2,1,0,n/a,0,0%,6.38,28%,0,0%,50%,0
Cody,Garbrandt,No Love,"5' 8""",135 lbs.,"65.0""",Orthodox,11,0,0,n/a,3.58,37%,3.04,68%,1.19,38%,100%,0
Leonard,Garcia,Bad Boy,"5' 10""",145 lbs.,"69.0""",Orthodox,19,11,1,n/a,2.77,24%,4.79,52%,0.3,26%,42%,0.5
Edgar,Garcia,n/a,"5' 10""",170 lbs.,"71.0""",Orthodox,14,5,0,n/a,3.16,29%,4.23,60%,2.21,57%,50%,0.6
Alejandro,Garcia,Alex,"5' 7""",145 lbs.,n/a,n/a,14,5,0,n/a,0,0%,0,0%,0,0%,0%,0
Alex,Garcia,The Dominican Nightmare,"5' 9""",170 lbs.,"72.0""",Orthodox,14,3,0,n/a,2.14,35%,3.23,61%,4.71,62%,55%,0
Nick,Garcia,Nitro,"5' 4""",125 lbs.,n/a,n/a,8,3,0,n/a,0.67,25%,3.03,50%,0,0%,83%,5.1
Steve,Garcia,Mean Machine,"6' 0""",135 lbs.,n/a,n/a,6,0,0,n/a,6.22,64%,2.61,40%,0,0%,100%,0
Rulon,Gardner,n/a,"6' 3""",265 lbs.,n/a,Orthodox,1,0,0,n/a,2.05,25%,1.45,60%,0.75,100%,100%,0
David,Gardner,n/a,"5' 11""",155 lbs.,n/a,Orthodox,18,19,0,n/a,0.17,100%,0.34,0%,0,0%,66%,0
Pablo,Garza,The Scarecrow,"6' 1""",145 lbs.,"73.0""",Orthodox,13,4,0,n/a,3.37,44%,2.7,50%,0.94,25%,15%,1.3
Azamat,Gashimov,n/a,"5' 6""",125 lbs.,"66.0""",Orthodox,10,3,0,n/a,1.24,21%,4.75,53%,1.69,25%,0%,0
Brian,Gassaway,n/a,"6' 1""",170 lbs.,n/a,Orthodox,29,20,2,n/a,0.34,26%,3.65,44%,0,0%,42%,0
Kelvin,Gastelum,n/a,"5' 9""",185 lbs.,"71.0""",Southpaw,14,2,0,n/a,3.99,43%,2.74,63%,1.04,50%,62%,0.2
Willie,Gates,Whoop Ass,"5' 8""",125 lbs.,"70.0""",Orthodox,12,7,0,n/a,1.8,38%,4.28,38%,0,0%,67%,0.4
Louis,Gaudinot,Goodnight,"5' 3""",125 lbs.,"63.0""",Orthodox,6,4,0,n/a,2.34,37%,6.42,48%,0.57,40%,31%,1.1
Charlene,Gellner,Princess,"5' 2""",125 lbs.,n/a,n/a,0,2,0,n/a,2.01,42%,3.24,43%,0,0%,0%,1.7
Chad,George,Savage,"5' 6""",135 lbs.,"68.0""",Southpaw,13,6,0,n/a,1.26,50%,1.11,65%,3.08,46%,0%,1.3
Paul,Georgieff,n/a,"6' 2""",170 lbs.,n/a,Orthodox,6,2,0,n/a,2.55,40%,2.34,35%,0,0%,0%,0
Brian,Geraghty,Duke,"5' 7""",155 lbs.,n/a,Orthodox,24,17,1,n/a,0.47,25%,9.77,36%,0,0%,50%,0
